y,Output,USO0,DJIA0,UNG0,USO1,DJIA1,UNG1,USO2,DJIA2,UNG2,USO3,DJIA3,UNG3,USO4,DJIA4,UNG4
20,0.41,-0.16,0.24,0.06,-0.4,-0.01,0.21,0.35,-0.21,-0.07,-0.46,-0.51,-0.16,0.16,0.58,-0.42
21,0.22,0.41,0.36,0.61,-0.16,0.24,0.06,-0.4,-0.01,0.21,0.35,-0.21,-0.07,-0.46,-0.51,-0.16
22,-0.29,0.22,-0.2,-0.14,0.41,0.36,0.61,-0.16,0.24,0.06,-0.4,-0.01,0.21,0.35,-0.21,-0.07
23,0.3,-0.29,-0.3,0.23,0.22,-0.2,-0.14,0.41,0.36,0.61,-0.16,0.24,0.06,-0.4,-0.01,0.21
24,0.26,0.3,0.08,0.11,-0.29,-0.3,0.23,0.22,-0.2,-0.14,0.41,0.36,0.61,-0.16,0.24,0.06
25,-0.33,0.26,-0.25,-0.09,0.3,0.08,0.11,-0.29,-0.3,0.23,0.22,-0.2,-0.14,0.41,0.36,0.61
26,0.18,-0.33,0.03,-0.08,0.26,-0.25,-0.09,0.3,0.08,0.11,-0.29,-0.3,0.23,0.22,-0.2,-0.14
27,0.4,0.18,-0.06,-0.27,-0.33,0.03,-0.08,0.26,-0.25,-0.09,0.3,0.08,0.11,-0.29,-0.3,0.23
28,0.12,0.4,0.08,-0.19,0.18,-0.06,-0.27,-0.33,0.03,-0.08,0.26,-0.25,-0.09,0.3,0.08,0.11
29,0.51,0.12,0.24,-0.03,0.4,0.08,-0.19,0.18,-0.06,-0.27,-0.33,0.03,-0.08,0.26,-0.25,-0.09
30,-0.09,0.51,0.3,0.05,0.12,0.24,-0.03,0.4,0.08,-0.19,0.18,-0.06,-0.27,-0.33,0.03,-0.08
31,0.31,-0.09,1.12,0.24,0.51,0.3,0.05,0.12,0.24,-0.03,0.4,0.08,-0.19,0.18,-0.06,-0.27
32,0.06,0.31,-0.22,0.24,-0.09,1.12,0.24,0.51,0.3,0.05,0.12,0.24,-0.03,0.4,0.08,-0.19
33,-0.25,0.06,-0.1,-0.01,0.31,-0.22,0.24,-0.09,1.12,0.24,0.51,0.3,0.05,0.12,0.24,-0.03
34,0.33,-0.25,-0.77,0,0.06,-0.1,-0.01,0.31,-0.22,0.24,-0.09,1.12,0.24,0.51,0.3,0.05
35,-0.02,0.33,0.21,-0.61,-0.25,-0.77,0,0.06,-0.1,-0.01,0.31,-0.22,0.24,-0.09,1.12,0.24
36,-0.18,-0.02,0.49,0.22,0.33,0.21,-0.61,-0.25,-0.77,0,0.06,-0.1,-0.01,0.31,-0.22,0.24
37,0.59,-0.18,-0.11,-0.31,-0.02,0.49,0.22,0.33,0.21,-0.61,-0.25,-0.77,0,0.06,-0.1,-0.01
38,-0.4,0.59,-0.05,-0.19,-0.18,-0.11,-0.31,-0.02,0.49,0.22,0.33,0.21,-0.61,-0.25,-0.77,0
39,-0.35,-0.4,-0.3,-0.32,0.59,-0.05,-0.19,-0.18,-0.11,-0.31,-0.02,0.49,0.22,0.33,0.21,-0.61
40,-0.18,-0.35,-2.26,-0.05,-0.4,-0.3,-0.32,0.59,-0.05,-0.19,-0.18,-0.11,-0.31,-0.02,0.49,0.22
41,0.11,-0.18,-1.85,-0.05,-0.35,-2.26,-0.05,-0.4,-0.3,-0.32,0.59,-0.05,-0.19,-0.18,-0.11,-0.31
42,-0.1,0.11,1.14,0.04,-0.18,-1.85,-0.05,-0.35,-2.26,-0.05,-0.4,-0.3,-0.32,0.59,-0.05,-0.19
43,-0.02,-0.1,0.15,0.34,0.11,1.14,0.04,-0.18,-1.85,-0.05,-0.35,-2.26,-0.05,-0.4,-0.3,-0.32
44,0.42,-0.02,-0.94,-0.21,-0.1,0.15,0.34,0.11,1.14,0.04,-0.18,-1.85,-0.05,-0.35,-2.26,-0.05
45,-0.07,0.42,2.02,0.44,-0.02,-0.94,-0.21,-0.1,0.15,0.34,0.11,1.14,0.04,-0.18,-1.85,-0.05
46,0.25,-0.07,-2.32,0.14,0.42,2.02,0.44,-0.02,-0.94,-0.21,-0.1,0.15,0.34,0.11,1.14,0.04
47,0.09,0.25,0.12,-0.19,-0.07,-2.32,0.14,0.42,2.02,0.44,-0.02,-0.94,-0.21,-0.1,0.15,0.34
48,0.76,0.09,-0.58,-0.19,0.25,0.12,-0.19,-0.07,-2.32,0.14,0.42,2.02,0.44,-0.02,-0.94,-0.21
49,0.07,0.76,1.16,-0.01,0.09,-0.58,-0.19,0.25,0.12,-0.19,-0.07,-2.32,0.14,0.42,2.02,0.44
50,-0.14,0.07,0.87,-0.38,0.76,1.16,-0.01,0.09,-0.58,-0.19,0.25,0.12,-0.19,-0.07,-2.32,0.14
51,0.2,-0.14,-1.91,0.12,0.07,0.87,-0.38,0.76,1.16,-0.01,0.09,-0.58,-0.19,0.25,0.12,-0.19
52,0.23,0.2,-0.62,-0.04,-0.14,-1.91,0.12,0.07,0.87,-0.38,0.76,1.16,-0.01,0.09,-0.58,-0.19
53,-0.3,0.23,0.77,0.03,0.2,-0.62,-0.04,-0.14,-1.91,0.12,0.07,0.87,-0.38,0.76,1.16,-0.01
54,0.5,-0.3,-1.51,-0.19,0.23,0.77,0.03,0.2,-0.62,-0.04,-0.14,-1.91,0.12,0.07,0.87,-0.38
55,-0.6,0.5,0.24,-0.53,-0.3,-1.51,-0.19,0.23,0.77,0.03,0.2,-0.62,-0.04,-0.14,-1.91,0.12
56,-0.22,-0.6,-0.18,0,0.5,0.24,-0.53,-0.3,-1.51,-0.19,0.23,0.77,0.03,0.2,-0.62,-0.04
57,0.2,-0.22,-0.33,0.03,-0.6,-0.18,0,0.5,0.24,-0.53,-0.3,-1.51,-0.19,0.23,0.77,0.03
58,0.65,0.2,0.61,-0.04,-0.22,-0.33,0.03,-0.6,-0.18,0,0.5,0.24,-0.53,-0.3,-1.51,-0.19
59,-0.32,0.65,1.1,0.46,0.2,0.61,-0.04,-0.22,-0.33,0.03,-0.6,-0.18,0,0.5,0.24,-0.53
60,-0.27,-0.32,-0.87,0.02,0.65,1.1,0.46,0.2,0.61,-0.04,-0.22,-0.33,0.03,-0.6,-0.18,0
61,0.36,-0.27,0.23,0.16,-0.32,-0.87,0.02,0.65,1.1,0.46,0.2,0.61,-0.04,-0.22,-0.33,0.03
62,-0.02,0.36,0,-0.31,-0.27,0.23,0.16,-0.32,-0.87,0.02,0.65,1.1,0.46,0.2,0.61,-0.04
63,0.19,-0.02,0.72,0.6,0.36,0,-0.31,-0.27,0.23,0.16,-0.32,-0.87,0.02,0.65,1.1,0.46
64,0.51,0.19,-0.19,-0.49,-0.02,0.72,0.6,0.36,0,-0.31,-0.27,0.23,0.16,-0.32,-0.87,0.02
65,-0.22,0.51,0.9,0.06,0.19,-0.19,-0.49,-0.02,0.72,0.6,0.36,0,-0.31,-0.27,0.23,0.16
66,-0.05,-0.22,1.25,0.1,0.51,0.9,0.06,0.19,-0.19,-0.49,-0.02,0.72,0.6,0.36,0,-0.31
67,0.55,-0.05,0.11,-0.13,-0.22,1.25,0.1,0.51,0.9,0.06,0.19,-0.19,-0.49,-0.02,0.72,0.6
68,-0.04,0.55,0.13,-0.31,-0.05,0.11,-0.13,-0.22,1.25,0.1,0.51,0.9,0.06,0.19,-0.19,-0.49
69,0.2,-0.04,-0.06,0.07,0.55,0.13,-0.31,-0.05,0.11,-0.13,-0.22,1.25,0.1,0.51,0.9,0.06
70,-0.11,0.2,0.81,0.05,-0.04,-0.06,0.07,0.55,0.13,-0.31,-0.05,0.11,-0.13,-0.22,1.25,0.1
71,0.18,-0.11,0.49,-0.23,0.2,0.81,0.05,-0.04,-0.06,0.07,0.55,0.13,-0.31,-0.05,0.11,-0.13
72,0.11,0.18,0.07,0.14,-0.11,0.49,-0.23,0.2,0.81,0.05,-0.04,-0.06,0.07,0.55,0.13,-0.31
73,0.9,0.11,0.1,0.19,0.18,0.07,0.14,-0.11,0.49,-0.23,0.2,0.81,0.05,-0.04,-0.06,0.07
74,0.02,0.9,0.84,-1.4,0.11,0.1,0.19,0.18,0.07,0.14,-0.11,0.49,-0.23,0.2,0.81,0.05
75,-0.48,0.02,-0.82,-0.34,0.9,0.84,-1.4,0.11,0.1,0.19,0.18,0.07,0.14,-0.11,0.49,-0.23
76,0.28,-0.48,0.15,-0.19,0.02,-0.82,-0.34,0.9,0.84,-1.4,0.11,0.1,0.19,0.18,0.07,0.14
77,-0.09,0.28,0.66,0.42,-0.48,0.15,-0.19,0.02,-0.82,-0.34,0.9,0.84,-1.4,0.11,0.1,0.19
78,0.69,-0.09,0.33,0.29,0.28,0.66,0.42,-0.48,0.15,-0.19,0.02,-0.82,-0.34,0.9,0.84,-1.4
79,0.64,0.69,0.12,0.03,-0.09,0.33,0.29,0.28,0.66,0.42,-0.48,0.15,-0.19,0.02,-0.82,-0.34
80,0.34,0.64,-0.57,-0.54,0.69,0.12,0.03,-0.09,0.33,0.29,0.28,0.66,0.42,-0.48,0.15,-0.19
81,0.2,0.34,0.67,-0.25,0.64,-0.57,-0.54,0.69,0.12,0.03,-0.09,0.33,0.29,0.28,0.66,0.42
82,-0.07,0.2,-0.06,-0.24,0.34,0.67,-0.25,0.64,-0.57,-0.54,0.69,0.12,0.03,-0.09,0.33,0.29
83,0.45,-0.07,0.43,0.2,0.2,-0.06,-0.24,0.34,0.67,-0.25,0.64,-0.57,-0.54,0.69,0.12,0.03
84,-0.4,0.45,-0.92,1.15,-0.07,0.43,0.2,0.2,-0.06,-0.24,0.34,0.67,-0.25,0.64,-0.57,-0.54
85,0.15,-0.4,-0.6,0.06,0.45,-0.92,1.15,-0.07,0.43,0.2,0.2,-0.06,-0.24,0.34,0.67,-0.25
86,-0.45,0.15,0.38,0.2,-0.4,-0.6,0.06,0.45,-0.92,1.15,-0.07,0.43,0.2,0.2,-0.06,-0.24
87,-0.21,-0.45,-2.09,-0.52,0.15,0.38,0.2,-0.4,-0.6,0.06,0.45,-0.92,1.15,-0.07,0.43,0.2
88,-0.25,-0.21,0.43,0.22,-0.45,-2.09,-0.52,0.15,0.38,0.2,-0.4,-0.6,0.06,0.45,-0.92,1.15
89,0.29,-0.25,0.58,0.38,-0.21,0.43,0.22,-0.45,-2.09,-0.52,0.15,0.38,0.2,-0.4,-0.6,0.06
90,0.31,0.29,0.8,-0.03,-0.25,0.58,0.38,-0.21,0.43,0.22,-0.45,-2.09,-0.52,0.15,0.38,0.2
91,0.18,0.31,0.43,-0.18,0.29,0.8,-0.03,-0.25,0.58,0.38,-0.21,0.43,0.22,-0.45,-2.09,-0.52
92,0.2,0.18,0.63,-0.37,0.31,0.43,-0.18,0.29,0.8,-0.03,-0.25,0.58,0.38,-0.21,0.43,0.22
93,0.16,0.2,1.13,0.38,0.18,0.63,-0.37,0.31,0.43,-0.18,0.29,0.8,-0.03,-0.25,0.58,0.38
94,-0.87,0.16,0.41,0.12,0.2,1.13,0.38,0.18,0.63,-0.37,0.31,0.43,-0.18,0.29,0.8,-0.03
95,0.25,-0.87,-1.1,-0.25,0.16,0.41,0.12,0.2,1.13,0.38,0.18,0.63,-0.37,0.31,0.43,-0.18
96,0.25,0.25,0.4,-0.05,-0.87,-1.1,-0.25,0.16,0.41,0.12,0.2,1.13,0.38,0.18,0.63,-0.37
97,0.16,0.25,0.08,0.37,0.25,0.4,-0.05,-0.87,-1.1,-0.25,0.16,0.41,0.12,0.2,1.13,0.38
98,0.28,0.16,0.31,-0.16,0.25,0.08,0.37,0.25,0.4,-0.05,-0.87,-1.1,-0.25,0.16,0.41,0.12
99,0.21,0.28,0.61,0.2,0.16,0.31,-0.16,0.25,0.08,0.37,0.25,0.4,-0.05,-0.87,-1.1,-0.25
100,-0.04,0.21,0.61,0.43,0.28,0.61,0.2,0.16,0.31,-0.16,0.25,0.08,0.37,0.25,0.4,-0.05
101,0.3,-0.04,-0.88,-0.6,0.21,0.61,0.43,0.28,0.61,0.2,0.16,0.31,-0.16,0.25,0.08,0.37
102,-0.18,0.3,0.59,-0.33,-0.04,-0.88,-0.6,0.21,0.61,0.43,0.28,0.61,0.2,0.16,0.31,-0.16
103,0.02,-0.18,-0.23,-0.3,0.3,0.59,-0.33,-0.04,-0.88,-0.6,0.21,0.61,0.43,0.28,0.61,0.2
104,-0.62,0.02,-0.05,0.11,-0.18,-0.23,-0.3,0.3,0.59,-0.33,-0.04,-0.88,-0.6,0.21,0.61,0.43
105,0.61,-0.62,-0.21,0.3,0.02,-0.05,0.11,-0.18,-0.23,-0.3,0.3,0.59,-0.33,-0.04,-0.88,-0.6
106,-0.01,0.61,0.32,-0.4,-0.62,-0.21,0.3,0.02,-0.05,0.11,-0.18,-0.23,-0.3,0.3,0.59,-0.33
107,0.16,-0.01,0,-0.19,0.61,0.32,-0.4,-0.62,-0.21,0.3,0.02,-0.05,0.11,-0.18,-0.23,-0.3
108,-0.31,0.16,0.52,0.49,-0.01,0,-0.19,0.61,0.32,-0.4,-0.62,-0.21,0.3,0.02,-0.05,0.11
109,-0.2,-0.31,0.02,0.04,0.16,0.52,0.49,-0.01,0,-0.19,0.61,0.32,-0.4,-0.62,-0.21,0.3
110,0.18,-0.2,0.11,-0.1,-0.31,0.02,0.04,0.16,0.52,0.49,-0.01,0,-0.19,0.61,0.32,-0.4
111,0.18,0.18,0.63,0.2,-0.2,0.11,-0.1,-0.31,0.02,0.04,0.16,0.52,0.49,-0.01,0,-0.19
112,0.18,0.18,-0.19,0.28,0.18,0.63,0.2,-0.2,0.11,-0.1,-0.31,0.02,0.04,0.16,0.52,0.49
113,-0.05,0.18,0.16,0.45,0.18,-0.19,0.28,0.18,0.63,0.2,-0.2,0.11,-0.1,-0.31,0.02,0.04
114,0.15,-0.05,-0.07,-0.17,0.18,0.16,0.45,0.18,-0.19,0.28,0.18,0.63,0.2,-0.2,0.11,-0.1
115,-0.2,0.15,0.65,-0.26,-0.05,-0.07,-0.17,0.18,0.16,0.45,0.18,-0.19,0.28,0.18,0.63,0.2
116,0.08,-0.2,0.71,0.2,0.15,0.65,-0.26,-0.05,-0.07,-0.17,0.18,0.16,0.45,0.18,-0.19,0.28
117,-0.33,0.08,0.85,-0.1,-0.2,0.71,0.2,0.15,0.65,-0.26,-0.05,-0.07,-0.17,0.18,0.16,0.45
118,0.15,-0.33,-0.17,0.23,0.08,0.85,-0.1,-0.2,0.71,0.2,0.15,0.65,-0.26,-0.05,-0.07,-0.17
119,-0.12,0.15,1.86,-0.39,-0.33,-0.17,0.23,0.08,0.85,-0.1,-0.2,0.71,0.2,0.15,0.65,-0.26
120,-0.49,-0.12,0.43,-0.08,0.15,1.86,-0.39,-0.33,-0.17,0.23,0.08,0.85,-0.1,-0.2,0.71,0.2
121,0.16,-0.49,-2.67,0.1,-0.12,0.43,-0.08,0.15,1.86,-0.39,-0.33,-0.17,0.23,0.08,0.85,-0.1
122,-0.07,0.16,0.57,0.14,-0.49,-2.67,0.1,-0.12,0.43,-0.08,0.15,1.86,-0.39,-0.33,-0.17,0.23
123,-0.81,-0.07,-0.14,-0.05,0.16,0.57,0.14,-0.49,-2.67,0.1,-0.12,0.43,-0.08,0.15,1.86,-0.39
124,0.3,-0.81,-1.12,-0.1,-0.07,-0.14,-0.05,0.16,0.57,0.14,-0.49,-2.67,0.1,-0.12,0.43,-0.08
125,0.03,0.3,0.41,0.13,-0.81,-1.12,-0.1,-0.07,-0.14,-0.05,0.16,0.57,0.14,-0.49,-2.67,0.1
126,0.01,0.03,-0.06,-0.11,0.3,0.41,0.13,-0.81,-1.12,-0.1,-0.07,-0.14,-0.05,0.16,0.57,0.14
127,-0.23,0.01,0.48,-0.53,0.03,-0.06,-0.11,0.3,0.41,0.13,-0.81,-1.12,-0.1,-0.07,-0.14,-0.05
128,0.02,-0.23,-0.36,0.16,0.01,0.48,-0.53,0.03,-0.06,-0.11,0.3,0.41,0.13,-0.81,-1.12,-0.1
129,0.57,0.02,0.46,-0.21,-0.23,-0.36,0.16,0.01,0.48,-0.53,0.03,-0.06,-0.11,0.3,0.41,0.13
130,-0.18,0.57,-0.1,0.31,0.02,0.46,-0.21,-0.23,-0.36,0.16,0.01,0.48,-0.53,0.03,-0.06,-0.11
131,-0.42,-0.18,0.36,-0.24,0.57,-0.1,0.31,0.02,0.46,-0.21,-0.23,-0.36,0.16,0.01,0.48,-0.53
132,0.49,-0.42,-0.3,-0.68,-0.18,0.36,-0.24,0.57,-0.1,0.31,0.02,0.46,-0.21,-0.23,-0.36,0.16
133,-0.02,0.49,0.7,0,-0.42,-0.3,-0.68,-0.18,0.36,-0.24,0.57,-0.1,0.31,0.02,0.46,-0.21
134,-0.11,-0.02,0.15,0.41,0.49,0.7,0,-0.42,-0.3,-0.68,-0.18,0.36,-0.24,0.57,-0.1,0.31
135,0.33,-0.11,-0.24,0.16,-0.02,0.15,0.41,0.49,0.7,0,-0.42,-0.3,-0.68,-0.18,0.36,-0.24
136,0.12,0.33,0.45,-0.31,-0.11,-0.24,0.16,-0.02,0.15,0.41,0.49,0.7,0,-0.42,-0.3,-0.68
137,0.07,0.12,-0.35,0.12,0.33,0.45,-0.31,-0.11,-0.24,0.16,-0.02,0.15,0.41,0.49,0.7,0
138,0.1,0.07,-0.47,0.25,0.12,-0.35,0.12,0.33,0.45,-0.31,-0.11,-0.24,0.16,-0.02,0.15,0.41
139,-0.02,0.1,0.79,0.03,0.07,-0.47,0.25,0.12,-0.35,0.12,0.33,0.45,-0.31,-0.11,-0.24,0.16
140,-0.09,-0.02,-0.2,-0.15,0.1,0.79,0.03,0.07,-0.47,0.25,0.12,-0.35,0.12,0.33,0.45,-0.31
141,-0.04,-0.09,0.23,0.01,-0.02,-0.2,-0.15,0.1,0.79,0.03,0.07,-0.47,0.25,0.12,-0.35,0.12
142,-0.31,-0.04,0.43,-0.51,-0.09,0.23,0.01,-0.02,-0.2,-0.15,0.1,0.79,0.03,0.07,-0.47,0.25
143,0.19,-0.31,0.27,0.14,-0.04,0.43,-0.51,-0.09,0.23,0.01,-0.02,-0.2,-0.15,0.1,0.79,0.03
144,0.07,0.19,0.61,-0.13,-0.31,0.27,0.14,-0.04,0.43,-0.51,-0.09,0.23,0.01,-0.02,-0.2,-0.15
145,-0.03,0.07,0.28,0.37,0.19,0.61,-0.13,-0.31,0.27,0.14,-0.04,0.43,-0.51,-0.09,0.23,0.01
146,0.24,-0.03,0.46,0.39,0.07,0.28,0.37,0.19,0.61,-0.13,-0.31,0.27,0.14,-0.04,0.43,-0.51
147,-0.26,0.24,0.27,-0.02,-0.03,0.46,0.39,0.07,0.28,0.37,0.19,0.61,-0.13,-0.31,0.27,0.14
148,0.16,-0.26,0.79,0.35,0.24,0.27,-0.02,-0.03,0.46,0.39,0.07,0.28,0.37,0.19,0.61,-0.13
149,0.19,0.16,0.23,-0.08,-0.26,0.79,0.35,0.24,0.27,-0.02,-0.03,0.46,0.39,0.07,0.28,0.37
150,-0.11,0.19,0.26,0.32,0.16,0.23,-0.08,-0.26,0.79,0.35,0.24,0.27,-0.02,-0.03,0.46,0.39
151,-0.07,-0.11,0.34,0.28,0.19,0.26,0.32,0.16,0.23,-0.08,-0.26,0.79,0.35,0.24,0.27,-0.02
152,-0.05,-0.07,0.31,-0.17,-0.11,0.34,0.28,0.19,0.26,0.32,0.16,0.23,-0.08,-0.26,0.79,0.35
153,0.2,-0.05,-0.26,-0.03,-0.07,0.31,-0.17,-0.11,0.34,0.28,0.19,0.26,0.32,0.16,0.23,-0.08
154,0.18,0.2,-0.18,-0.39,-0.05,-0.26,-0.03,-0.07,0.31,-0.17,-0.11,0.34,0.28,0.19,0.26,0.32
155,-0.11,0.18,0.36,0.12,0.2,-0.18,-0.39,-0.05,-0.26,-0.03,-0.07,0.31,-0.17,-0.11,0.34,0.28
156,-0.18,-0.11,-0.01,0.02,0.18,0.36,0.12,0.2,-0.18,-0.39,-0.05,-0.26,-0.03,-0.07,0.31,-0.17
157,0.47,-0.18,0.78,0.02,-0.11,-0.01,0.02,0.18,0.36,0.12,0.2,-0.18,-0.39,-0.05,-0.26,-0.03
158,-0.14,0.47,1.92,-0.19,-0.18,0.78,0.02,-0.11,-0.01,0.02,0.18,0.36,0.12,0.2,-0.18,-0.39
159,0.02,-0.14,-0.75,-0.16,0.47,1.92,-0.19,-0.18,0.78,0.02,-0.11,-0.01,0.02,0.18,0.36,0.12
160,0.1,0.02,-0.34,0.2,-0.14,-0.75,-0.16,0.47,1.92,-0.19,-0.18,0.78,0.02,-0.11,-0.01,0.02
161,0.05,0.1,-0.48,0,0.02,-0.34,0.2,-0.14,-0.75,-0.16,0.47,1.92,-0.19,-0.18,0.78,0.02
162,0.2,0.05,-0.32,-0.04,0.1,-0.48,0,0.02,-0.34,0.2,-0.14,-0.75,-0.16,0.47,1.92,-0.19
163,0.1,0.2,0.73,-0.15,0.05,-0.32,-0.04,0.1,-0.48,0,0.02,-0.34,0.2,-0.14,-0.75,-0.16
164,0.41,0.1,0.62,0.28,0.2,0.73,-0.15,0.05,-0.32,-0.04,0.1,-0.48,0,0.02,-0.34,0.2
165,0.08,0.41,-1.05,0.2,0.1,0.62,0.28,0.2,0.73,-0.15,0.05,-0.32,-0.04,0.1,-0.48,0
166,0.16,0.08,0.87,-0.08,0.41,-1.05,0.2,0.1,0.62,0.28,0.2,0.73,-0.15,0.05,-0.32,-0.04
167,0.16,0.16,0.79,-0.03,0.08,0.87,-0.08,0.41,-1.05,0.2,0.1,0.62,0.28,0.2,0.73,-0.15
168,-0.04,0.16,-0.24,0.1,0.16,0.79,-0.03,0.08,0.87,-0.08,0.41,-1.05,0.2,0.1,0.62,0.28
169,-0.07,-0.04,-0.71,-0.04,0.16,-0.24,0.1,0.16,0.79,-0.03,0.08,0.87,-0.08,0.41,-1.05,0.2
170,0.05,-0.07,-0.47,-0.05,-0.04,-0.71,-0.04,0.16,-0.24,0.1,0.16,0.79,-0.03,0.08,0.87,-0.08
171,-0.26,0.05,0.29,-0.24,-0.07,-0.47,-0.05,-0.04,-0.71,-0.04,0.16,-0.24,0.1,0.16,0.79,-0.03
172,-0.15,-0.26,0.15,-0.04,0.05,0.29,-0.24,-0.07,-0.47,-0.05,-0.04,-0.71,-0.04,0.16,-0.24,0.1
173,-0.08,-0.15,0.26,-0.49,-0.26,0.15,-0.04,0.05,0.29,-0.24,-0.07,-0.47,-0.05,-0.04,-0.71,-0.04
174,-0.18,-0.08,0.4,-0.17,-0.15,0.26,-0.49,-0.26,0.15,-0.04,0.05,0.29,-0.24,-0.07,-0.47,-0.05
175,0.17,-0.18,0.53,0.45,-0.08,0.4,-0.17,-0.15,0.26,-0.49,-0.26,0.15,-0.04,0.05,0.29,-0.24
176,-0.44,0.17,-0.22,-0.04,-0.18,0.53,0.45,-0.08,0.4,-0.17,-0.15,0.26,-0.49,-0.26,0.15,-0.04
177,0.19,-0.44,-1.14,0.07,0.17,-0.22,-0.04,-0.18,0.53,0.45,-0.08,0.4,-0.17,-0.15,0.26,-0.49
178,-0.25,0.19,-0.15,-0.54,-0.44,-1.14,0.07,0.17,-0.22,-0.04,-0.18,0.53,0.45,-0.08,0.4,-0.17
179,0.42,-0.25,-0.09,-0.49,0.19,-0.15,-0.54,-0.44,-1.14,0.07,0.17,-0.22,-0.04,-0.18,0.53,0.45
180,-0.14,0.42,1.47,0.06,-0.25,-0.09,-0.49,0.19,-0.15,-0.54,-0.44,-1.14,0.07,0.17,-0.22,-0.04
181,0.13,-0.14,-0.5,0.16,0.42,1.47,0.06,-0.25,-0.09,-0.49,0.19,-0.15,-0.54,-0.44,-1.14,0.07
182,0.22,0.13,0.4,0.03,-0.14,-0.5,0.16,0.42,1.47,0.06,-0.25,-0.09,-0.49,0.19,-0.15,-0.54
183,0.12,0.22,1.22,0.27,0.13,0.4,0.03,-0.14,-0.5,0.16,0.42,1.47,0.06,-0.25,-0.09,-0.49
184,-0.46,0.12,0.5,0.54,0.22,1.22,0.27,0.13,0.4,0.03,-0.14,-0.5,0.16,0.42,1.47,0.06
185,0.15,-0.46,0.4,0.42,0.12,0.5,0.54,0.22,1.22,0.27,0.13,0.4,0.03,-0.14,-0.5,0.16
186,0.11,0.15,1,-0.17,-0.46,0.4,0.42,0.12,0.5,0.54,0.22,1.22,0.27,0.13,0.4,0.03
187,-0.45,0.11,0.35,0.34,0.15,1,-0.17,-0.46,0.4,0.42,0.12,0.5,0.54,0.22,1.22,0.27
188,0.25,-0.45,-0.06,-0.41,0.11,0.35,0.34,0.15,1,-0.17,-0.46,0.4,0.42,0.12,0.5,0.54
189,0.1,0.25,-2.06,-0.01,-0.45,-0.06,-0.41,0.11,0.35,0.34,0.15,1,-0.17,-0.46,0.4,0.42
190,-0.14,0.1,0.12,0.31,0.25,-2.06,-0.01,-0.45,-0.06,-0.41,0.11,0.35,0.34,0.15,1,-0.17
