start date: 05/30/13, end date: 05/31/13, keyword: economy
Nyshka Chandran,0.0,3.80998660901
Mizuho Securities,-0.11643,1.75944226537
Oil prices,-0.131159,1.31818879551
Frederik Ducrozet,0.0164451,4.46020625859
Manila,0.0665232,4.90998829129
Staples Inc.,0.143556,4.09778698974
Italy,-0.0465763,7.12750901704
Europe,-2.059797,7.07365278102
Institutional Revolutionary Party,0.024867,2.96161624622
Australia,-0.115552,1.42576496414
S&P 500,1.0038171,101.086610174
UBS AG,-0.304906,0.482528949587
Kenai Capital Management,0.0,4.97919536946
gross domestic product,-0.598503,24.2368171676
Hong Kong,0.3352401,17.0766696647
Boeing,0.220084,2.08849867663
Philippines,0.1844365,23.3985258073
Ryan Detrick,-0.232443,2.24629093594
Hans Ulrich Maerki,0.211556,8.18551728942
Brown Brothers Harriman & Co.,0.0715158,6.00598578811
Nomura International,-0.0514184,10.5981004445
German,0.0,2.31305085109
Deepa Seetharaman,0.0,3.01048633355
MKM Partners,0.1346468,40.3931337832
Boston,0.35429,22.3509359073
Michael Saunders,0.325606,4.3469443701
Ben Bernanke,-0.0765559,84.3311295435
Stamford Connecticut,0.0778066,1.8023837568
David Bianco,0.120206,2.65931814036
Gisborne New Zealand,0.0,3.06442300319
Phillip Futures,0.0,1.93473384546
Standard & Poor's 500 index,-0.298698,1.58046579175
retail sales,-0.260406,2.57688221746
Hiroshi Maeba,0.0,3.35330960055
GMC (automobile),0.0,4.28169137535
NV Energy,0.0643075,84.2684840595
VTB Capital,0.204806,2.87671609108
Neil Fullick,0.0,2.77061454662
CNBC Asia,0.0209383,1.17282426194
Frankfurt am Main,-0.172938,5.89958658883
Scotia Mocatta,-0.402624,5.49027346374
Nick Matthews,-0.1591242,15.6640282846
Ruth Pitchford,0.0,4.18689406906
Dow,-0.5601124,16.5860709157
Indonesian government,0.0488438,4.05192794734
Tres Knippa,0.0,7.34276290303
Mexico,-0.264715,7.35276513163
Elliot Spar,0.0930729,4.0239116854
UBS Financial Services Inc,0.175621,4.65425426042
Masashi Murata,-0.1433177,11.4184906033
technology sector,-0.311807,3.29627656148
President Benigno Aquino,0.122862,4.65425426042
Minnesota,0.077932,38.1184840985
Jeffrey Saut,0.249232,6.983275189
CBOE Volatility Index,0.722135,48.3554333342
Organisation for Economic Co-operation and Development,-0.0983401,34.1073512183
General Motors,-0.0158763,2.13380342186
Lee Robertson,-0.32552,8.18551728942
Blockupy,-0.0356361,6.29837648322
IG Markets,0.0,2.12118547768
Adam Jonas,0.0169591,6.63018749016
Brussels,0.465377,28.8767514647
Spain,0.144682,0.0893956461787
Sprint Nextel,0.73529,33.1774733783
Kaori Enjoji,-0.0511937,6.11202464068
World Gold Council,0.0,6.50791999716
Brenda Kelly,0.75815,11.7010142424
Randgold Resources,0.140782,3.30995830698
oil producer,0.55326,7.6105087042
API,0.390244,5.17077437834
Capital Economics,-0.0559243,1.14226824821
Dish Network,0.0,42.1689056476
Aaron Kohli,0.2023656,62.1755205655
SP Angel,0.0,3.86024862165
Aer Lingus,-0.014103,5.53972958396
National Association of Realtors,0.639353,83.7166213926
Michigan,0.0,1.46006779225
China,0.0,2.67811788015
Indonesia,-0.212195,12.6298799276
Viparat Jantraprapaweth,0.0,4.36912612556
United States,-1.1327322,180.0151016
CNN International,-0.300585,0.851288873831
Central Intelligence Agency,0.0,18.3888279499
Millan Mulraine,0.0536821,4.61591327607
Nikkei,-0.094924,3.46583067567
Joe Hogan,0.0843331,9.49741719364
Mexico City,0.0,2.14551081999
CNBC,0.0,11.1534126156
Asia,0.3202684,51.740695652
Silverado,0.0,3.56402672067
Eric S. Rosengren,0.0,45.5180002706
ECB,0.2870446,29.0943718
Phil Orlando,0.125132,5.8127915325
Helen Massy-Beresford,0.0,3.52237467078
Steven Ricchiuto,0.0,2.65931814036
Inflation,0.0108452,1.11758629929
Ian Stannard,0.167176,5.20123901601
Gary Maldonado,0.0,6.69412544546
PVM,0.0,4.86595497213
CIBC,0.505275,48.4397692732
Meiji Yasuda Life Insurance,0.0,5.49027346374
St. Petersburg Florida,0.0,2.64220428418
Namrata Anchan,-0.210347,5.94817614202
Mirza Baig,0.0,4.36912612556
Guy Steer,0.0,4.36912612556
Competition Commission,-0.0471048,3.15748063221
Goldman Sachs,0.3315799,24.8720431321
Miller Tabak & Co,0.227815,3.01705495863
Martin Sommer,-0.0108022,6.29837648322
Chairman Hubertus von Gruenberg,0.172298,5.78728475198
Republic of China,-0.3724906,12.7033579902
Chicago,0.0,1.36450417951
IHS Global Insight,0.0505875,3.31161635867
Angela Merkel,-0.3038301,2.8012232399
Virginia,0.0812095,28.7724921425
Jackie DeAngelis,0.0,6.11826917785
Germany,0.2041397,7.56769653426
Yuichi Kodama,0.0471045,5.94798655648
Bank,0.0,2.59585626886
Melissa Lee,0.0415327,2.62019333642
KKR Global Institute,0.076886,45.299159788
Linda Stern,0.0,5.94817614202
Swiss magazine,0.0,5.78728475198
Steve "Silk" Hurley,0.125454,6.55535803132
Arizona,0.0147819,1.56617544628
Federal Reserve System,-0.0066874,231.451684243
Canton Ohio,-0.135201,4.28169137535
BK Asset Management,0.0660527,1.07340943259
American Petroleum Institute,-0.0979933,3.99991826084
Carole Ferguson,0.315919,4.57003544002
Andrew Wilkinson,0.200393,4.03015104052
General Motors Co,-0.19568,2.35801018016
Tampa Florida,0.0,2.7151691363
Paris,0.334658,25.5825463254
Reuters,0.3366152,46.6171962959
Mario Draghi,0.171111,15.9940543824
CAC-40,0.149294,2.21324273042
Michael Tyler,0.108883,3.19480756972
Netherlands,0.0780994,0.917367026256
People's Republic of China,0.107468,0.0
Julius Baer,0.429487,3.30995830698
Memorial Day,0.054035,37.2002191491
Mervyn King (economist),0.0452053,5.73798644233
Washington,0.0,1.32673358409
Jan Paschal,0.0,2.64220428418
Stanley White,0.0,3.86024862165
Nikkei 225,-2.21757,65.4012569872
J. D. Power and Associates,0.279357,4.28169137535
HSBC Bank Canada,0.115358,0.913561419618
France,-0.4194665,8.5282303345
HSBC,0.0,0.659647993809
Olivier Jakob,0.342287,37.892777678
KOSPI,-0.306443,0.298954233369
New York City,0.0,22.2787894283
charset-error,0.5278767,31.6040548534
Oregon,0.0705375,34.0258598906
Herman Van Rompuy,0.0,2.61724974075
Costco,-0.80091,45.5180002706
Commerzbank,-0.194943,1.45336508244
Tamas Varga,0.0,4.05036048186
William Mallard,0.0,4.57003544002
pension systems,-0.454306,10.5981004445
Florida,0.0,2.97876019765
Saudi Arabia,0.2005685,15.9260673943
high-tech products,-0.203399,3.87414343883
Shri Navaratnam,0.0,3.64970138957
BNP Paribas,0.914487,28.7338536487
Bangko Sentral ng Pilipinas,-0.01417,8.38129435354
Warren Buffett,0.0,29.4687648989
Joy Global,-2.39157,59.9343160485
Berkshire Hathaway,0.0,33.5895523821
New Mexico,0.0,4.05036048186
Raymond James Financial,0.0495816,4.65425426042
Brian Sponheimer,0.0,4.28169137535
ABB Asea Brown Boveri,-0.0300511,8.53287439028
Las Vegas Nevada,0.0527805,40.9309666521
ING Group,0.131668,1.40421096581
Tokyo,-0.809134,25.9221724758
Dow Jones,-0.758329,0.893402662616
Jacqueline Wong,0.0,3.51139078821
Hong Kong-based,0.0607709,2.33941319143
Thomson Reuters,0.0671113,1.49271561321
Rosemarie Francisco,0.0,4.65425426042
crude oil,-0.179906,1.80985723103
Dallara,0.0,3.34520697038
Ben Collett,-0.187048,9.62788732725
Martin Santa,0.0,7.05976555431
New York Lincolnshire,0.101626,12.6693928913
European Central Bank,0.8587577,13.2577246248
Robert Pemberton,0.0,8.18551728942
The Wall Street Journal,0.0,1.11288275041
Dow Jones Industrial Average,1.1973315,45.6211059243
Mormon (prophet),0.0,4.86595497213
Edward Taylor,0.0,3.28494689415
Edmunds.com,0.0509008,4.28169137535
Kelly Teoh,0.0,3.15748063221
Kasper Rorsted,0.0,8.18551728942
Shanghai,0.0,0.237162175782
FX (TV network),-0.136027,2.46820146753
City of London,0.234326,2.15377702106
Stifel Nicolaus,-0.0801234,1.85348412649
Frankfurt.,0.0,5.78728475198
Umesh Desai,0.0,3.63680632077
Bangkok,0.0,2.4803380136
Deutsche Bank,-0.1421488,15.0490916316
AT&T,0.0,1.98275741642
The Washington Post,0.0601898,2.67977543327
Asia-Pacific,0.0,1.31160098967
Toyota,0.0249171,0.984374336411
Nogales Arizona,-0.466704,7.21889063104
Finance Minister Taro Aso,-0.0504711,4.81104797879
Chuck Mikolajczak,0.0,4.65425426042
Bank of Canada,0.0,2.79621681906
Ulrich Spiesshofer,-0.0218741,8.18551728942
Environmental Investigation Agency,-0.05226,19.928255199
United Kingdom,0.0824451,0.0
North Asia,-0.504313,3.29627656148
SDA,0.246412,4.65425426042
Kohlberg Kravis Roberts,0.1577848,70.9391493938
U.S. Treasurys,-0.0293858,7.3838121114
Ministry of Economy of the Republic of Poland,0.0243788,5.49027346374
Federal Open Market Committee,0.0,26.6643943907
Lions,2.14166,59.9343160485
retail investors,1.12396,4.94226082108
Dhara Ranasinghe,0.0,2.47503484861
Ramya Muthukumaran,-0.312255,5.94817614202
Connecticut,0.0537238,1.37268199981
government,-0.087479,11.1846435095
Markus Rosgen,-0.267319,9.01910789368
Nikkei 225 index,-0.112428,3.14780446096
Daniel Brebner,-0.0137319,4.36620288231
Chrysler,-0.104241,4.35772452393
New Zealand,0.0696053,0.75328938722
European Union,-0.428791,7.86124450935
John Kerry,0.0,0.194731330165
Federated Investors,0.159889,9.84257708039
Victoria Bryan,0.0,4.36620288231
Commerce Department,-1.4205734,58.200416724
FTSE 250 Index,0.0,1.68546639954
TD Securities,0.17561,2.69768479073
London,0.2938258,40.2474041594
Robin Emmott,0.0,2.79183667106
Koichi Hamada,0.131506,5.86105004351
Haruhiko Kuroda,-0.0779971,1.3193563082
Vienna,0.0329264,8.92711794832
Bank of Japan,1.3179949,39.9237002737
Singapore,0.0743517,34.2953360149
George Silver,0.0348895,3.34160163412
Clearwire Corp,0.4157725,34.0258598906
Thomas Becket,0.173113,8.18551728942
Facebook,2.70101,14.4332652573
John Doyle (artist),0.0,7.37805995931
Sonora,0.0248268,2.03915249966
Morgan Stanley,-0.1036036,11.5357789791
Ryanair,-0.0682206,3.15748063221
Credit Agricole,0.0,2.96495631543
Verizon Communications,0.0,1.75781594131
Michael Hewson,-0.0788727,7.40314340956
New Zealand Treasury,0.931674,51.5252632598
Daniel Bases,0.0,4.65425426042
CBOE Volatility index,-0.0526043,7.21943785843
Japan,-0.0198272,107.433800278
Trinh Nguyen,0.240163,6.983275189
Fed,0.203145,294.122032814
Arthur Lau,-0.0590939,3.89223521837
OPEC,0.576653,25.5513053092
Yanira Maldonado,0.0824247,4.96118359543
New York New York,-0.1561312,43.1723617485
David Petraeus,0.471452,39.379841543
Sharon Epperson,0.0,7.30435614983
Bank of England,0.511844,1.20061402876
Moody's,-0.0954245,27.3638229984
Prime Minister Shinzo Abe,0.0484317,2.31459060602
Susan Fenton,-0.380448,8.38061688943
SPDR Gold Trust,0.0,2.674645851
DETROIT,0.0,2.51249717892
Tempus Inc.,0.0,5.40170367632
Switzerland,0.260137,4.24125530944
European Council,0.0,2.61724974075
GDP,-0.8547194,65.9007526021
Mark Carney,0.0147821,4.45713172086
Purchasing Managers' Index,-0.0417886,5.17077437834
Schaeffer's Investment Research,-0.506281,2.41031478788
Twitter,0.0,6.43909810343
CMC Markets,0.083625,2.10834312311
Standard & Poor's,0.0,4.07934732725
Britain,0.0,1.72398660231
Global Energy Group,0.0,53.0339531001
Dane Zajc,0.0,5.78728475198
CNBC World,0.227432,5.92262196725
Malaysian government,0.0,2.77061454662
Ford Motor Company,0.0835716,1.46894238483
American Jewish Committee,0.0,4.05036048186
Alan Gayle,0.0821513,9.64005608451
Sierra,0.0,4.28169137535
RidgeWorth Investments,0.0,5.94817614202
Manhattan,0.0,1.2987586572
Bank of America,0.591964,15.726135383
TrueCar.com,0.0,3.56402672067
Hang Seng,0.0,1.49829707896
DAX,0.2817022,56.8036477698
stock markets,0.1211697,5.05169828463
CNN,0.0,0.0
Tom Tucci,0.2074644,54.41918575
Schwab Center for Financial Research,-0.399638,40.3931337832
U.S. Energy Information Administration,-0.0448183,19.7905626683
Asian,0.1472664,47.5298479122
UBS Investment Bank,0.0,2.62019333642
Carsten Brzeski,0.238406,2.82837162075
start date: 05/30/13, end date: 05/31/13, keyword: oil
disambiguated name,sentiment,significance
Martin Midstream Partners,-0.396771,6.65942641044
Paris,0.0,1.55131542709
Ministry of Economy of the Republic of Poland,0.0243788,7.00732990718
Reuters,0.1429862,9.77992399959
Middle East,-0.864538,1.03249412469
Saudi Arabia,0.291164,44.9135456182
Mitul Kotecha,0.0975611,2.06401985186
Honda,-0.333793,2.23144152344
crude oil,-0.179906,3.50061976569
Connecticut,0.0537238,2.53443240601
Sprint Nextel,0.0,3.30157973183
CAC-40,0.149294,2.99238356317
Brent Scowcroft,0.0,4.14529966897
Newedge,0.0,6.30268541114
Tokyo City,0.0,5.45085785742
Labor Department,0.431402,20.6371727989
Global Energy Group,0.0,66.8816653513
government,-0.606333,1.35058482784
Fereidun Fesharaki,0.0,66.8816653513
Brenda Kelly,0.379075,23.8121012554
Nikkei 225 index,-0.112428,3.98707191972
NV Energy,0.0903822,4.46941894441
oil producer,0.82989,51.1669540533
Commerce Department,-0.1350494,22.3970840995
FTSE 250 Index,0.0,2.43065231124
Yuichi Kodama,0.0471045,8.01439671992
Nasdaq,0.0226825,1.85764163218
API,0.390244,37.8577113873
London,0.0768259,5.2325920103
Daniel Martin (cyclist),-0.200041,6.53248390088
Nikkei 225,0.0,36.9803662997
South Korea,-0.257802,0.415363267925
MMLP,-0.448907,6.65942641044
New York Lincolnshire,0.0198225,1.57373458204
Dish Network,0.0,5.81918383227
France,0.138635,0.210253600812
oil markets,0.0,4.43992473857
Kathy Lien,0.0350257,3.3817239129
Olivier Jakob,0.342287,53.8962575699
Larry Hatheway,0.0,6.53248390088
KOSPI,-0.306443,0.954951910366
Vienna,0.0329264,37.2961411184
Bank of Japan,0.6859554,35.284295343
Singapore,-0.0444431,1.38878283319
National Association of Realtors,0.125863,42.4620700836
New York City,0.0,29.3058689276
charset-error,0.3675152,12.1577776995
China,0.0,5.12410677476
Tehran,-1.0,2.67353976383
Stanley White,0.0,5.25915239509
Tamas Varga,0.0,5.32492308025
William Mallard,0.0,6.02038814184
Gene McGillian,0.206051,5.09735896981
Indonesia,0.0,1.400421964
Avago Technologies,0.0,5.7214848343
Organisation for Economic Co-operation and Development,-0.1094674,28.9064799012
United States,-1.3647003,79.7980235884
Oil Boom,-0.149807,4.14158066825
Michael Hewson,-0.0788727,30.6044731055
Oil Minister Ali al-Naimi,1.996527,57.5438610678
Shri Navaratnam,0.0,5.03334370119
Tradition Energy,0.140727,3.62337190066
Nikkei,-0.349686,2.48328392682
NVE,0.117823,6.65942641044
Japan,0.0976142,41.7711862938
Fed,0.4074403,41.3417440048
Berkshire Hathaway,0.179327,3.37140651547
Asia,-0.358729,24.9267693873
OPEC,0.6210353,67.1290372518
Capital Economics,-0.0559243,1.85250838016
Oil prices,-0.131159,2.89016171282
New York New York,-0.136791,1.34344904177
ANZ (Fiji),0.0,2.83118646435
David Petraeus,0.353589,43.4701335809
Europe,-0.411505,0.0648563090229
Australia,0.0,0.319084337574
Iran,-1.0,0.587553563502
Retailer Express,0.0273916,6.65942641044
gross domestic product,-0.127248,6.60584625472
Hong Kong,0.0,0.679128715082
Tokyo,-0.450715,13.3459118749
Dow Jones,-0.758329,1.5876334922
Meiji Yasuda Life Insurance,0.0,7.00732990718
GDP,-0.435593,16.5256778937
Purchasing Managers' Index,-0.0417886,23.2615005134
PVM,0.0,6.19785500113
CMC Markets,0.083625,3.24638148644
Barry Bonds,0.0,4.61208294903
HSBC,0.0,1.3388427915
Britain,0.0,1.05545654196
Finance Minister Taro Aso,-0.0504711,7.07898260058
Dow Jones Industrial Average,0.3296896,37.5994511332
Republic of China,-0.1041027,9.9493365209
Stamford Connecticut,0.0778066,2.99487409975
S&P 500,0.1422536,64.1299863139
MidAmerican Energy Holdings Co,0.0868318,6.65942641044
Haruhiko Kuroda,-0.0779971,3.31349878684
Gisborne New Zealand,0.0,4.34720398206
Angela Merkel,0.0199949,1.26336794804
Germany,0.100057,0.360102315434
Hang Seng,0.0,2.23144152344
Clearwire,0.0,4.46941894441
DAX,0.2410104,58.079272882
Philippines,0.0,1.20195380253
Ryoma Furumi,0.0,11.1806082875
Melissa Lee,0.0415327,3.42551597029
KKR Global Institute,0.0576645,48.2355695188
CNBC Asia,0.0209383,1.88503009791
stock markets,-0.0190043,4.42096003333
Central Intelligence Agency,0.0,26.5713009168
Federal Reserve System,-0.4230754,64.3083954871
Dow,0.0,2.02257971453
BK Asset Management,0.0660527,1.77921984066
American Petroleum Institute,-0.0809596,32.0148948346
U.S. Energy Information Administration,-0.0242259,44.613248681
Environmental Investigation Agency,-0.0224366,44.8121118354
Kohlberg Kravis Roberts,0.1183386,73.9768187223
UBS Investment Bank,0.0,3.42551597029
start date: 05/30/13, end date: 05/31/13, keyword: middle
disambiguated name,sentiment,significance
Reuters,0.289819,1.48218246053
oil markets,0.0,7.92772064063
Ryoma Furumi,0.0,16.5653826945
Iran,-1.0,21.9905604942
American Petroleum Institute,0.0170337,5.34211275905
U.S. Energy Information Administration,0.0205924,5.17376199985
ANZ (Fiji),0.0,5.60024291109
oil producer,0.27663,7.90041079545
Environmental Investigation Agency,0.0298234,5.2195090865
United States,-0.0800836,13.1145592597
OPEC,0.0443823,8.04435307975
Saudi Arabia,0.0905955,3.978054226
Middle East,-0.864538,17.1274494236
Federal Reserve System,-0.0541476,2.0074091012
Oil Boom,-0.149807,7.52898215176
Newedge,0.0,10.4387191722
Tehran,-1.0,5.36820659916
Oil Minister Ali al-Naimi,0.665509,8.44162684161
Tokyo City,0.0,9.45607869255
API,0.0,6.26728033397
start date: 05/30/13, end date: 05/31/13, keyword: war
disambiguated name,sentiment,significance
White House,0.144799,2.40728759843
Afghanistan,0.0800737,7.277294763
Edward Taylor,0.0,3.94810580259
oil markets,0.0,3.41494612279
OPEC,0.0443823,3.01056478576
Reuters,0.289819,0.0
Middle East,-0.864538,4.37251832111
ANZ (Fiji),0.0,2.22883274567
David Petraeus,-0.0433421,18.2927227972
Texas,0.0516028,2.05463043472
Europe,-0.29589,1.9507400224
Energy Future Holdings,0.0,6.25355608539
Saudi Arabia,0.0905955,7.48885190258
Iran,-1.0,5.78347231963
ECB,0.058323,1.48608137047
US Inc,0.0,5.59329020417
Paula Broadwell,-0.158482,17.2049422714
HCA Holdings Inc,0.0,6.25355608539
Tilman Blasshofer,0.0,6.87429863465
European Central Bank,-0.297657,0.611601748497
Tehran,-1.0,2.06572702335
Bangalore,0.0,1.47960329916
Iraq,0.0647379,10.7039694723
Tokyo City,0.0,5.33287199115
Kohlberg Kravis Roberts & Co,0.0,6.25355608539
Ryoma Furumi,0.0,9.37313791128
Go Daddy Group Inc,0.0,6.25355608539
KKR Global Institute,0.0,11.0343230056
Ankur Banerjee,0.0,6.25355608539
Frankfurt am Main,-0.172938,6.69476183724
Central Intelligence Agency,-0.0709373,10.1677332086
United States,-0.0343969,0.0
Deutsche Bank,-0.144027,1.70854769465
Barack Obama,-0.0310782,8.68023013057
Roshni Menon,0.0,3.13189115949
Oil Boom,-0.149807,3.65002932513
Oil Minister Ali al-Naimi,0.665509,4.38420321397
Newedge,0.0,5.37215457861
Blockupy,-0.0356361,6.87429863465
oil producer,0.27663,3.94109289701
Ruth Pitchford,0.0,5.00658406469
American Petroleum Institute,0.0170337,2.04749968614
U.S. Energy Information Administration,0.0205924,1.93049508911
Environmental Investigation Agency,0.0298234,1.96218548492
API,0.0,2.70701488135
Federal Reserve System,-0.0541476,0.100642979698
Kohlberg Kravis Roberts,0.354925,6.73645204647
Eva Kuehnen,0.0,5.73595184832
Martin Sommer,-0.0108022,6.87429863465
start date: 05/29/13, end date: 05/30/13, keyword: economy
disambiguated name,sentiment,significance
Monetary Policy Committee,0.0,2.86572078575
Robert T. Kuroda,0.0148502,8.431929464
Japanese government,-1.591696,39.0821164386
Brad Lipsig,0.110809,4.53554378862
European Commission,0.2962495,20.1457614521
Citigroup,0.219341,0.495092048138
E-Fund Management,0.0927192,3.93156021765
Samsung Electronics,0.0,0.724490905314
Mitul Kotecha,0.0975611,1.2819589448
James Regan,0.0,9.16413041254
Honda,-0.333793,1.4366456678
Axioma,0.194316,3.93156021765
Ansuya Harjani,0.0,4.85520581873
Brent Scowcroft,-0.406684,5.71382388997
Daiwa Securities Group,0.0,2.50248883913
Amando Tetangco,-0.177125,6.82031648809
Labor Department,0.627536,78.9182714716
Desmond Chua,-0.220275,7.08740053724
Hirokazu Yuihama,0.0,3.78745644074
Fereidun Fesharaki,0.0,51.7893868049
oil output,0.49423,1.95758087832
Howard Archer,0.449305,3.56386571075
United States Department of the Treasury,0.1774999,24.6048504549
Dearborn Michigan,0.0,4.16952085671
Matthew Lewis,0.0,1.69017510602
Nasdaq,0.673475,17.7436977336
Asia Pacific,0.149821,3.93156021765
Daniel Martin (cyclist),-0.200041,5.00382884205
Arsenio Balisacan,0.150412,8.19666937969
South Korea,-0.541404,0.00278243159235
Bernard Aw,0.145827,6.82031648809
Peter Dixon,-0.232351,5.09458087355
Kathy Lien,0.0350257,2.09717898903
Larry Hatheway,0.0,5.00382884205
Forecastweb,0.16012,4.53554378862
Katie Stockton,0.0744452,45.6561798989
wireless service,0.85687,34.8823854052
Club Med,0.559683,25.6036327736
Jane Merriman,0.0,4.24738262668
Alcoa,-0.72011,31.6396994247
led,0.445079,1.71294894607
Gene McGillian,0.206051,3.17027019316
PARIS,0.1133342,26.7190363778
Christin Tuxen,0.0,4.57167729294
central bank,-0.2000524,16.1226017721
Ohio,-0.172952,1.18407263311
Oil Minister Ali al-Naimi,1.331018,8.29557341693
Caroline Copley,0.0,5.6518882734
Chief Executive Henri Giscard,0.0,11.90030463
Tradition Energy,0.140727,2.29731058591
Nyshka Chandran,0.0,6.45117568302
iitrader.com LLC,0.0,2.67977895926
AXA Private Equity,-0.0252272,14.3243680802
Mizuho Securities,-0.11643,1.69305197102
Oil prices,-0.131159,1.21865795402
Manila,0.0665232,4.77108768546
Staples Inc.,0.143556,3.96831098138
Italy,0.2281311,2.59527886094
Europe,-1.174638,0.0
Australia,-0.495346,1.2691362845
Energy Information Agency,0.0,3.53355292716
Ben Bernanke,0.0163459,99.0366532668
UBS AG,-0.304906,0.429682671535
Kenai Capital Management,0.0,4.85520581873
gross domestic product,-0.8441857,39.6249095809
Hong Kong,0.3483877,22.5399057108
Boeing,0.220084,1.97791936226
Philippines,0.161022,15.7037022604
Ryan Detrick,-0.232443,2.17184943668
Hans Ulrich Maerki,0.211556,8.00984206327
Brown Brothers Harriman & Co.,0.0715158,5.7988123113
Stifel Nicolaus & Co.,-0.0172696,3.26466623199
Randy Frederick,-2.323832,50.0367718174
German,-0.104941,5.71608361341
Deepa Seetharaman,0.0,2.91674875329
MKM Partners,0.1346468,39.2476797883
Boston,0.35429,21.3759411694
Michael Saunders,0.325606,4.23040859691
Ian Lyngen,1.0,3.41339720891
Stamford Connecticut,0.0778066,4.53891722517
General Motors,-0.0158763,2.03075261774
David Bianco,0.120206,2.57804622111
Gisborne New Zealand,0.0,2.96421452895
Phillip Futures,0.0,1.85977022667
Standard & Poor's 500 index,-0.154565,3.75268992036
retail sales,0.0,0.712224316414
Hiroshi Maeba,0.0,3.23835123643
Andy Lebow,0.369145,4.88369800667
GMC (automobile),0.0,4.16952085671
NV Energy,0.0643075,82.0689092422
VTB Capital,0.204806,2.77526981492
China Enterprises,0.0,3.93156021765
Neil Fullick,0.0,2.47586043222
CNBC Asia,0.0209383,1.11658382977
Scotia Mocatta,-0.402624,5.35878370903
Syria,-0.403224,0.0
Dow,-0.5601124,15.771839652
Tres Knippa,0.0,7.1755240483
AZ Investment Management,0.0,3.93156021765
Elliot Spar,0.0930729,3.90467688474
UBS Financial Services Inc,0.175621,4.53554378862
Masashi Murata,-0.1433177,11.1158342058
President Benigno Aquino,0.122862,4.53554378862
Julius Baer,0.429487,3.20798365952
Minnesota,0.077932,36.8830494901
Jeffrey Saut,0.249232,6.82031648809
Joyce Liu,-0.0111769,3.23835123643
Organisation for Economic Co-operation and Development,-0.2017137,55.7353661509
LG Display,0.0610633,1.65674976418
ADAM President Colette Neuville,0.0,11.90030463
Pier Carlo Padoan,0.270722,7.85757179793
Lee Robertson,-0.32552,8.00984206327
Olivier d'Assier,0.0383432,6.11409993228
IG Markets,0.0,2.03488887247
Adam Jonas,0.0169591,6.46444906773
Brussels,0.281018,2.78265481318
Spain,0.1035708,1.03620565121
Sprint Nextel,0.7590223,42.3790423272
Kaori Enjoji,-0.0511937,5.95837015344
World Gold Council,0.0,38.7876724127
Brenda Kelly,0.75815,11.396512071
Randgold Resources,0.140782,3.20798365952
oil producer,0.55326,7.39088676425
Aristocrat Leisure,0.0,4.08706332943
India,0.10247,0.0
API,0.390244,4.98267632267
Capital Economics,-0.0559243,1.0865358036
Dish Network,0.0,40.8665663363
J. D. Power and Associates,0.279357,4.16952085671
Aaron Kohli,0.2023656,60.6693328206
SP Angel,0.0,3.74868629745
Aer Lingus,-0.014103,5.3923918354
SoftBank,0.0429239,1.58082884092
National Association of Realtors,0.639353,80.9718195917
Michigan,0.0,1.38881146227
Elena Berton,0.0,11.90030463
China,0.100545,6.8178548556
ADAM,0.1855758,8.81607906982
CSI,0.0,3.93156021765
Westpac,-0.373367,1.07998306237
Indonesia,0.0,2.0637814809
United States,-0.8395357,219.023229806
Central Intelligence Agency,0.0,17.3509804905
Millan Mulraine,0.0536821,4.49313984876
Nikkei,-0.094924,3.25695938962
